Id,Label,cluster,weight<occurrences>,eigencentrality,modularity_class
158,Alloy,4,39,0.45713,1
213,Analytical Method,2,21,0.385374,3
297,Animalia,1,34,0.434937,2
377,Archaeological Evidence,2,308,0.965367,0
409,Archaeology,1,499,1,0
411,Archaeomagnetism,1,11,0.158108,0
413,Archaeometallurgy,4,26,0.391889,1
417,Archaeometry,5,28,0.370012,0
434,Architectural Design,2,11,0.202772,0
449,Arsenic,4,10,0.25287,1
457,Art,2,49,0.557732,3
465,Artifact,4,272,0.963435,0
627,Bayesian Analysis,1,11,0.166182,0
689,Biodegradation,2,10,0.132111,0
779,Bone,1,48,0.463147,2
830,Bronze,4,45,0.490018,1
860,Building,2,14,0.25891,3
912,Calcite,2,18,0.346933,3
916,Calcium,7,19,0.345583,3
7057,Ceramics,3,222,0.87904,4
972,Carbon,1,15,0.22693,2
975,Carbon Isotope,1,23,0.357462,2
1041,Cave,1,11,0.199109,0
1058,Cemetery,1,14,0.338224,2
1118,Chalcolithic,4,16,0.270329,1
1129,Characterization,2,12,0.241208,0
1144,Chemical Analysis,5,69,0.695978,0
1148,Chemical Composition,3,132,0.806826,0
1165,Chert,1,18,0.306202,4
1202,Chronology,1,36,0.452345,0
1237,Clay,3,32,0.442627,0
1262,Cluster Analysis,3,12,0.172027,0
1271,Coating,2,10,0.297158,3
1272,Cobalt,3,17,0.300358,4
1304,Collagen,1,10,0.152021,2
1313,Color,3,31,0.439789,3
1347,Comparative Study,1,31,0.548698,4
1355,Composition,3,11,0.233187,0
1375,Concentration (composition),1,28,0.461969,0
1393,Conservation,2,12,0.20411,3
1404,Construction Material,2,12,0.262341,0
1431,Copper,4,91,0.686211,1
1466,Corrosion,4,14,0.334861,1
1546,Cultural Heritage,2,12,0.168223,0
1550,Cultural History,7,18,0.292618,0
1614,Data Set,3,12,0.241278,2
1617,Database,3,16,0.344329,0
1619,Dating,1,16,0.185232,0
1620,Dating Method,1,24,0.352265,0
1694,Diagenesis,1,12,0.269379,2
1702,Diet,1,25,0.252539,2
1740,Discriminant Analysis,3,11,0.169345,0
1797,Early Bronze Age,3,18,0.316357,4
1860,Economic History,3,14,0.369862,4
1873,ED-XRF,2,12,0.306353,0
1924,Electron Probe Analysis,3,24,0.438585,0
1959,Enamel,1,20,0.335215,2
2014,EPMA,3,12,0.332983,0
2044,Estimation Method,1,11,0.210757,0
2084,Excavation,3,15,0.313543,4
2092,Experimental Archaeology,1,17,0.256893,4
2101,Experimental Study,1,60,0.626861,4
2102,Exploitation,6,10,0.324941,0
2223,Firing Temperature,2,14,0.255378,3
2242,Flint,1,16,0.262792,4
7061,Instrumental Neutron Activation Analysis,3,10,0.212117,0
2413,Gas Chromatography,2,50,0.442778,4
2432,GC/MS,2,15,0.268879,4
2463,Geochemistry,5,80,0.693748,0
2465,Geochronology,1,20,0.335212,0
2509,Glass,3,107,0.656693,0
2529,Glaze,2,12,0.332965,3
2563,Gold,4,23,0.357881,1
2585,Grain Size,2,13,0.258644,0
2767,Hematite,2,20,0.374588,3
2839,Historic Building,2,12,0.244655,0
2852,Historical Perspective,1,37,0.544393,1
2927,Human Settlement,1,35,0.525569,0
