Id,Label,type,eigencentrality
Archive Ontology (ArCo network),,Ontology,0.040156
ARIADNE Object Catalogue Ontology,,Ontology,0.078852
ARKIVO Ontology,,Ontology,0.040156
Beyond Archaeology (BeArchaeo),,Ontology,0.085428
Bibliographic Ontology,,Ontology,0.006891
Catalogue Ontology (ArCo network),,Ontology,0.040156
Cataloguing Campaign Ontology (ArCo network),,Ontology,0.040156
CIDOC Conceptual Reference Model,,Ontology,0.107463
CIDOC Conceptual Reference Model - Argumentation Model (CRMinf),,Ontology,0.00213
CIDOC Conceptual Reference Model - Environmental Archaeology Extension (CRM-EH),,Ontology,0.078852
CIDOC Conceptual Reference Model - Excavation Model (CRMarchaeo),,Ontology,0.078852
CIDOC Conceptual Reference Model - Model for Archaeological Buildings (CRMba),,Ontology,0.156697
CIDOC Conceptual Reference Model - Model for Provenance Data (CRMdig),,Ontology,0.003907
CIDOC Conceptual Reference Model - Model for Social Phenomena (CRMsoc),,Ontology,0.004111
CIDOC Conceptual Reference Model - Model for the Study of Ancient Texts (CRMtex),,Ontology,0.028013
CIDOC Conceptual Reference Model - Spatiotemporal Model (CRMgeo),,Ontology,0.099486
CIDOC Conceptual Reference Model - The Scientific Observation Model (CRMsci),,Ontology,0.138845
"CiTO, the Citation Typing Ontology",,Ontology,0.006891
Clothing Description Ontology (ArCo network),,Ontology,0.004829
Construction Description Ontology (ArCo network),,Ontology,0.077844
Context Description (ArCo Network),,Ontology,0.00213
Core Ontology (ArCo Network),,Ontology,0.047442
Cultural Event Ontology (ArCo network),,Ontology,0.003209
Cultural Gems,,Ontology,0
Cultural-ON (Cultural ONtology): Ontologia dei Luoghi della Cultura e degli Eventi Culturali,,Ontology,0.007523
Decision-Making in Conservation and Restoration Interventions of Cultural Heritage (DCRI),,Ontology,0.006592
Denotative Description Ontology (ArCo network),,Ontology,0.193278
EpiONT,,Ontology,0.00213
Factoid Prosopography Ontology (FPO),,Ontology,0.004492
FRBR-aligned Bibliographic Ontology (FaBiO),,Ontology,0.006891
Friend of a Friend (FOAF),,Ontology,0.004314
ICON Ontology,,Ontology,0.004693
Iconclass,,Ontology,0
Index Medii Aevi Geographiae Operum,,Ontology,0.00487
ITDT Ontology: Extension of RiC Ontology for Architectural Archives,,Ontology,0.077844
"Library Reference Model object-oriented (LRMoo, formerly FRBRoo)",,Ontology,0.006891
Location Ontology (ArCo network),,Ontology,0.05681
Modeling of Bibliographic Information Pertaining to Continuing Resources (PRESSoo),,Ontology,0.006891
Musical Instrument Ontology (ArCo network),,Ontology,0.004827
Natural Specimen Description Ontology (ArCo network),,Ontology,0
Nomisma,,Ontology,0.00213
0,Sampling,Tag,0
Philology-Oriented Graphematics Ontology,,Ontology,0.030748
Preservation Metadata: Implementation Strategies Ontology (PREMIS Ontology),,Ontology,0.051349
PROV-O Ontology,,Ontology,0.047442
Records in Contexts Ontology,,Ontology,0.040156
Seafaring Lives in Transition Ontology,,Ontology,0.033795
The Archive Dynamics Ontology (ArDO),,Ontology,0.040156
The Bibliometric Data Ontology (BiDO),,Ontology,0.006891
The Historical Context Ontology,,Ontology,0.007721
The Music Ontology,,Ontology,0.004827
Alexandria Digital Library (ADL) Feature Type Thesaurus,,Thesaurus,0.05681
Archaeological Objects (Scotland),,Thesaurus,0.133257
Cairo Gazetteer,,Thesaurus,0.213506
Catégories techniques et domaines principaux de classement des biens culturels - Inventaire/MH,,Thesaurus,0.010143
CILLA/MUSA - Specialtesaurus för musik,,Thesaurus,0.004827
CIMEC - Tezaure terminologice,,Thesaurus,0.306694
Common Geographic Areas (CGA),,Thesaurus,0.05681
Condition Trend (Wales),,Thesaurus,0.017527
Consortium of European Research Libraries (CERL) Thesaurus,,Thesaurus,0.012242
Cultural Objects Name Authority (CONA),,Thesaurus,0.186155
Dating Criteria (EAGLE Vocabulary),,Thesaurus,0.070689
Decoration (EAGLE Vocabulary),,Thesaurus,0.057472
Digitizing Early Farming Cultures (DEFC) Thesaurus,,Thesaurus,0.212109
Etat de conservation du patrimoine mobilier - Inventaire/MH,,Thesaurus,0.017527
Execution Technique (EAGLE Vocabulary),,Thesaurus,0.038156
Farmsteads,,Thesaurus,0.077844
First World War Project,,Thesaurus,0.077844
FISH Archaeological Event Types,,Thesaurus,0.126294
FISH Archaeological Objects,,Thesaurus,0.212109
FISH Archaeological Sciences,,Thesaurus,0.212109
